,A̱o,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,1990,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2000,0.28191122920972345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7180887707902766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2001,0.014791458210337513,0.9852085417896624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2005,0.2470825685434097,0.2887239840517406,0.2562645899962639,0.015694643751421856,0.017114134226262238,0.0,0.07171795822004222,0.08853683842753766,0.0,0.007685310696182479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071799720871393025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2006,0.253160753356295,0.04529620407602418,0.27051790602826975,0.03738242963898029,0.0,0.0,0.0,0.1346957326620995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24278874102886616,0.0,0.0,0.0,0.0,0.016158233209465123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2007,0.03055071117484273,0.05226150963102109,0.019444530037565574,0.013957350920775182,0.03998836778799544,0.003039704956024059,0.02379205752154051,0.05655604298285678,0.005423479315214953,0.0,0.0,0.0013195111530638493,0.392382764479076,0.0005094702009934947,0.002499613548838815,0.0008623940261595276,0.0,0.013159297754241165,0.0,0.3442531945097908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2008,0.06499899244324867,0.03391643440881248,0.06669768316450639,0.003769973052588104,0.003662177349064441,0.022742319669672783,0.0033231961971129224,0.010386842747112945,0.005089410631532938,0.006398704513657428,0.0,0.0,0.0,0.0,0.0,0.0,0.45017771908227705,0.0,0.0,0.32883654674041385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2009,0.03332781000859336,0.19622697986521992,0.22274128226108195,0.006520881045676388,0.002761881658313152,0.052791485582477767,0.0,0.017587896929004032,0.007567379764895502,0.017377339018383214,0.0009989679743103725,0.0,0.0,0.006339885942658843,0.0,0.0,0.01464432118613056,0.0,0.0,0.3174835842128851,0.10363030455036984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2010,0.07736117099468133,0.08029021111486909,0.24964166786053194,0.20647293156610327,0.002857476201385445,0.005752905142928836,0.0023330299397802583,0.0039646205741709455,0.0063410661290869245,0.07972590818955805,0.004861348037760839,7.186926503170285e-05,0.06984396764057668,0.0007510413890886618,0.004286635115369081,0.0010861242357174256,0.00037055432793114013,4.445481868950166e-05,0.017688173353706753,0.13401555943287105,0.04561608375699417,0.005506313686322863,7.224902336740537e-05,0.0,0.0,0.0,1.0522898207540912e-05,0.0010341153052690845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2011,0.037446858984696345,0.05663599259556604,0.17251969929633323,0.42027716210107224,0.00558401719052516,0.007052397165037112,0.029723406554356447,0.02885433965713118,0.0022875669855579035,0.03989010604124643,0.00961656831419846,0.0024440199957102265,0.07743656222797428,0.00329799413633751,0.0003029590526241638,0.00013068220613926632,0.0020470621958530036,5.080176701640869e-05,0.03656827734269626,0.056929945057372054,0.0,0.01043685437853383,0.0,0.0003936372765886649,0.0,0.0,4.985652277900914e-05,0.0,0.0,0.0,2.3232954654765833e-05,0.0,0.0,0.0,0.0,0.0
22,2012,0.01711328965986445,0.01805138797675636,0.05484793061602623,0.11018049169604703,0.001360227791581149,0.01028189530397236,0.026283038694799928,0.014414412891970763,0.0007482243751642524,0.010776076842735382,0.6438618631554207,0.0006576993904364164,0.04662210714236298,0.003050594864588404,0.0016375856864086285,0.0036938199637509958,0.0048414025618243465,1.2684767805808891e-05,0.011402002925473585,0.015411526681342026,0.0034636927475353474,0.0005007066393824838,0.0006022809180411525,0.0001348793952801526,0.0,0.0,2.2208623285265002e-05,8.508923480201211e-06,0.0,0.0,1.9459764663602587e-05,0.0,0.0,0.0,0.0,0.0
23,2013,0.04062280603278694,0.03531214972765231,0.1709778996849629,0.27702271296961434,0.0015020254266855655,0.010886196396273855,0.07009933899796819,0.017694575336372177,0.0037112728610319556,0.018346079209531175,0.20466747742846852,0.001769165293769693,0.09721309410416547,0.005798306033613723,0.006682826977349655,0.004445988492835721,0.002940301757939294,0.0008087185297779274,0.003939470972988038,0.013882029842048282,0.0026906003851334044,0.001628863412958989,0.001201899782110784,0.0,0.0,0.0,5.784431421521745e-06,0.006124772236675557,0.0,0.0,2.5643675864010437e-05,0.0,0.0,0.0,0.0,0.0
24,2014,0.023787564550364827,0.06416833161592125,0.06898004278946974,0.2153336930289577,0.005171791209300273,0.06176820083149407,0.12614955998127655,0.01785540667001334,0.0017724010840562369,0.009828208139945975,0.20726421561938116,0.0037543130526425847,0.016147386248206264,0.0027169452750145026,0.014690876015020511,0.0030067177233440183,0.007033618282248701,0.005021782440879333,0.0027429330662573368,0.021082663872996985,0.006706493282363055,0.004820529508636808,0.0004756794741363211,0.07653813162593533,5.7172286418444884e-05,0.0006127358940858195,0.00042161381152454916,0.0017535436749087899,8.293797858326127e-05,0.029857505042114686,0.00024029550925577073,8.31764731556852e-05,2.4086524117269908e-06,2.8127322667024244e-05,4.299796701138027e-05,0.0
25,2015,0.02416514183663862,0.0719070271644557,0.05227602696999681,0.23745808854494463,0.005432005921421355,0.06397448202515707,0.14729370693404228,0.014111289115663844,0.0014470833796771509,0.010918930648681567,0.18787746666564953,0.0023624366263529308,0.015496585273999426,0.0048821892463528,0.015137488497278678,0.0035686859340624045,0.008171322581400449,0.005255119524824885,0.002738980832939814,0.020691861504385577,0.007348858777359827,0.011321234667015151,0.0004751783492097609,0.03875336653490975,7.151991639983673e-05,0.0007323109149972848,0.000399523930143616,0.0017178736344791161,4.1732182150968075e-05,0.042228385170756236,0.00025622576593940463,9.449796396591329e-05,4.618187313468653e-06,2.7356854681727264e-05,0.0011283388109503505,0.00023305911180206243
26,2016,0.025384653574985355,0.07298929642159428,0.03830273902675441,0.2502671455020127,0.005641534886126753,0.06511534955876909,0.14943498980256956,0.013894898891749361,0.0014191396725876182,0.013213445288077314,0.1867063670740143,0.002452482119439197,0.015553962990703638,0.005064406624017937,0.014935952187671247,0.004026799086420582,0.008113045868785227,0.005479844010162654,0.0025426844114202055,0.020166487281541672,0.008053544939006221,0.026939964969508685,0.0004702381703814117,0.02346585522213331,8.241001265578296e-05,0.0006243094173786647,0.00047519390856563235,0.0016674185308888441,2.7370557922956743e-05,0.03465831071141286,0.0002069558339996888,9.820313924489813e-05,4.58623734217502e-06,3.2164177810167664e-05,0.0022551974918738438,0.00023305240047182143
27,2017,0.027914074588411622,0.07636684910638682,0.01573189340016713,0.2662751537213858,0.006214709198068185,0.06588064945456176,0.15286432514922738,0.016341246708482665,0.001554446452969839,0.013980830351845776,0.18991158898059396,0.002283523786862904,0.017204510576957165,0.003907588142005059,0.013722684942629258,0.005132439220236508,0.008098323352562277,0.005961476091357156,0.002917408428803137,0.020144473331257247,0.0079597521360233,0.022538187978815828,0.0004959747226448981,0.01628286399640593,8.820039010579416e-05,0.000682241569536158,0.0005060660599371678,0.0016710731904331485,2.970400019753721e-05,0.03408470486114402,0.00021310080598006462,9.575369533315362e-05,4.993842661524495e-06,3.339601518058646e-05,0.002687629427617087,0.00021816232321213513
28,2018,0.029252199592331714,0.07669633252028861,0.0019997463635703277,0.2690127723797855,0.005813176862171781,0.06549131421311026,0.158516150623013,0.01699694206486941,0.0017241290440947433,0.02095102646582469,0.189263453493106,0.0022212660378741274,0.01690367831129714,0.0035485082617173983,0.014353162613382988,0.00782963944334095,0.007902956334900386,0.0057110689599579895,0.002618804456189151,0.0195681952515039,0.007883793917959226,0.019156522585113852,0.0005118426291900252,0.01598838576557731,0.00010118644570675769,0.0006898343003728299,0.0004101884004737749,0.00148194473733518,2.4080133372754098e-05,0.03378169385769996,0.00022656505786933812,0.00010145775205166026,6.385855627320196e-06,2.954930044062997e-05,0.0030301874834484485,0.00020185848543087246
29,2019,0.030930276247557096,0.07282636941279919,2.0787156832053673e-06,0.2814079661954484,0.006141000285088483,0.06563993115374785,0.16199750424756013,0.017493616423266148,0.0018579304516122429,0.019678229776409054,0.17853913598893506,0.0021012596220740805,0.017471563853465585,0.004675572067985584,0.015681232254909784,0.007967820139055582,0.0076364284324574845,0.005158071561703197,0.0024192315126387895,0.020097015592121972,0.0074844475878444545,0.017147357272672265,0.0005668650028383623,0.016074849237747754,8.763886429756634e-05,0.0007429165439875087,0.00033022384643579655,0.0015497151755455053,0.0,0.03319101223942759,0.0002044915849507573,0.00010507775732717365,1.0843114776470035e-05,4.132109781490849e-05,0.002561744211820605,0.00017926252799439516
30,2020,0.033122370210087626,0.07336561363633944,1.5644765643405984e-06,0.29307046080028726,0.006573087605642669,0.06505075909520114,0.1646425267422258,0.016976622023007683,0.0019836876415889044,0.02082760479016343,0.1763505683879387,0.0017510822879390252,0.01750460713666228,0.0036103547165335626,0.012910806577560403,0.0070556594826432836,0.0073625474082020075,0.00225467504031472,0.0025473760466951274,0.019274688416937653,0.0066995575554370055,0.011054039205954814,0.0004724393402099963,0.016829901669371056,9.522574869611408e-05,0.000746368790958755,0.00033442128219142724,0.0014970659419799516,0.0,0.03305848410565044,0.0002201057666561254,9.66783794872305e-05,8.686750915697935e-06,3.314172520627919e-05,0.002461618004267016,0.0001556032104830824
31,2021,0.04277145293330993,0.09749213882346265,1.294631472482229e-06,0.24690701189784242,0.00964343051367932,0.06371258267550428,0.1685024471325759,0.017231970428263,0.003334446980798118,0.026589661220871683,0.17259286935779133,0.001958879948975918,0.01821205209615455,0.0042699952819855395,0.011799258137650315,0.006898651941594833,0.006854209922624361,0.003727990393313963,0.004267776686808082,0.01987457225022099,0.007226140023684563,0.011590541052311746,0.0005397291352151955,0.0155164168838867,0.0001976347712735059,0.0009041286261172729,0.00030013149023196757,0.0036144033206611885,0.0,0.030541546997992934,0.0002100605290174574,0.00010014930584705044,0.0001277539364906292,4.614808357718756e-05,0.002293523746942655,0.00014899884185025188
32,2022,0.0531962810676253,0.11323384133688279,0.004590258592397102,0.2196489218541526,0.013170715664618898,0.06235606489795463,0.17287917764135338,0.017848954861272782,0.00431566083327733,0.030703990808110343,0.15209288922771036,0.002371724827746476,0.01900197655693658,0.006133551007382185,0.013084868084351763,0.007723701172517818,0.005347936144209239,0.0060245398951462165,0.00596246756077138,0.021041352347475593,0.0075867875638994725,0.01096877914060851,0.0005515285521226999,0.013397886678654821,0.00025803530611666966,0.0011546317734045313,0.0002676468637394814,0.004234724026554676,0.0,0.027373917624621238,0.00021361770591021002,0.00011677406309502546,0.0002851815232618903,7.97354064494069e-05,0.0026388609858158957,0.00014301840385270377
